date,open,high,low,close,volume,average,trades
2023-01-25,141.93,142.89,138.81,142.06,55764623.0,140.735,220109
2023-01-26,142.9,144.25,141.9,143.69,47358646.0,143.348,186611
2023-01-27,143.48,147.23,143.0,145.9,59494327.0,145.827,217613
2023-01-30,145.54,145.64,142.85,143.0,54848015.0,143.66,219515
2023-01-31,142.67,144.43,141.45,143.8,57397847.0,143.675,185361
2023-02-01,144.29,146.61,141.32,146.07,67383432.0,143.916,272117
2023-02-02,147.14,152.08,142.3,145.99,95680610.0,149.394,371760
2023-02-03,145.45,157.38,144.0,154.39,126466401.0,154.382,463170
2023-02-06,153.51,154.12,150.78,151.98,56878792.0,152.029,227145
2023-02-07,151.79,155.23,150.33,154.15,71627080.0,153.516,291898
2023-02-08,154.15,154.58,151.16,152.4,55215292.0,152.368,213611
2023-02-09,152.98,154.33,150.42,150.75,46691275.0,152.289,194393
2023-02-10,150.4,151.35,148.7,151.26,44845310.0,150.435,171576
2023-02-13,150.78,154.26,149.98,153.7,53711095.0,153.24,189553
2023-02-14,153.5,155.2,150.86,152.84,52888797.0,152.58,212825
2023-02-15,152.8,155.51,151.7,155.48,52931951.0,154.525,198696
2023-02-16,155.41,156.33,152.75,152.81,56751579.0,154.759,220483
2023-02-17,152.8,153.39,150.85,152.64,49007614.0,152.06,192563
2023-02-21,150.86,151.77,148.4,148.72,49583081.0,149.355,178960
2023-02-22,148.94,150.0,147.16,149.18,45403892.0,148.555,174271
2023-02-23,149.74,150.34,147.24,148.95,41483111.0,148.872,172340
2023-02-24,148.19,149.39,145.72,146.4,49203224.0,146.386,186186
2023-02-27,146.95,149.17,146.34,148.03,39042539.0,148.138,152726
2023-02-28,147.04,149.08,146.75,146.93,43350371.0,147.794,152589
2023-03-01,147.66,148.49,145.01,145.12,47508411.0,145.843,190004
2023-03-02,144.96,146.71,143.54,145.6,45825720.0,145.193,176866
2023-03-03,145.92,151.42,145.23,151.42,60666352.0,150.062,225059
2023-03-06,152.05,156.3,150.65,153.78,74418367.0,154.677,282333
2023-03-07,154.0,154.72,151.13,151.43,47376096.0,152.274,209384
2023-03-08,151.5,153.47,151.06,152.65,41784895.0,152.702,175407
2023-03-09,152.16,154.54,150.11,150.4,47222079.0,152.443,198283
2023-03-10,150.29,152.0,147.6,148.6,59974460.0,149.061,269965
2023-03-13,150.02,153.14,146.28,150.9,73151109.0,151.194,355788
2023-03-14,150.95,153.4,150.0,152.77,64029882.0,152.117,259457
2023-03-15,152.87,153.31,149.92,152.7,65674067.0,151.777,307770
2023-03-16,152.88,156.46,151.64,155.81,66323648.0,154.824,300465
2023-03-17,155.83,156.88,154.28,154.6,83588525.0,155.353,260595
2023-03-20,154.38,157.82,151.75,157.41,65022162.0,156.633,249629
2023-03-21,157.45,159.4,156.54,158.97,65837133.0,158.37,241058
2023-03-22,158.0,162.14,157.57,158.42,60137635.0,159.824,262219
2023-03-23,159.02,161.56,157.68,159.05,58909989.0,159.539,259659
2023-03-24,159.43,160.39,157.82,160.2,49853061.0,159.241,203139
2023-03-27,160.25,160.77,157.87,158.37,43893254.0,159.043,180679
2023-03-28,157.95,158.49,155.98,157.7,40585544.0,156.985,161050
2023-03-29,158.66,161.05,157.25,160.35,44771230.0,160.22,181740
2023-03-30,161.15,162.47,160.25,162.44,41272067.0,162.008,169018
2023-03-31,162.39,165.0,161.84,164.9,59987752.0,164.063,207288
2023-04-03,164.47,166.31,163.35,166.02,44356502.0,165.36,182011
2023-04-04,165.91,167.0,165.11,165.79,38114715.0,165.917,150588
2023-04-05,165.68,165.8,161.8,163.55,44710090.0,163.485,184916
2023-04-06,161.79,164.96,160.18,164.59,38794391.0,164.019,157213
2023-04-10,164.49,164.49,160.08,162.2,39980569.0,161.268,174491
2023-04-11,162.02,162.74,160.51,161.0,39449567.0,161.13,169388
2023-04-12,160.7,162.3,159.75,159.8,42561620.0,160.888,185748
2023-04-13,160.05,165.8,159.7,165.34,59226818.0,164.365,227493
2023-04-14,165.3,166.32,163.82,165.0,42223574.0,165.043,169323
2023-04-17,165.25,166.2,164.03,165.22,35500969.0,164.8,140090
2023-04-18,164.95,167.41,164.63,166.46,41715474.0,166.353,156158
2023-04-19,165.98,168.16,165.0,167.25,40042569.0,167.274,153735
2023-04-20,167.0,167.87,165.56,166.98,43502874.0,166.793,171482
2023-04-21,166.68,166.68,162.99,164.92,47598664.0,165.084,186158
2023-04-24,164.84,165.6,163.86,165.22,31969710.0,164.931,137111
2023-04-25,164.93,166.31,163.52,164.16,41092968.0,164.631,172544
2023-04-26,164.84,165.28,162.66,164.03,36631746.0,163.917,156387
2023-04-27,164.12,169.06,163.54,167.94,55819665.0,167.352,205351
2023-04-28,167.76,169.85,167.27,169.59,46655002.0,168.946,178290
2023-05-01,168.4,170.45,168.26,169.4,40801413.0,169.66,161043
2023-05-02,169.9,170.35,167.54,168.6,41017108.0,168.693,168572
2023-05-03,168.75,170.92,162.75,165.6,50379043.0,169.134,209642
